Data;Nr. Operações;Volume;Média;Fator Diário;Mínima;Máxima;Moda;Dsv Pdr;Taxa SELIC
02/07/2018;8;3116441,26;6,39;1,00024583;-;-;-;-;6,4
03/07/2018;10;3335864,48;6,39;1,00024583;6;6,39;6,2;0,032879;6,4
04/07/2018;8;3684794,21;6,39;1,00024583;-;-;-;-;6,4
05/07/2018;8;3663811,57;6,39;1,00024583;-;-;-;-;6,4
06/07/2018;8;3643587,3;6,39;1,00024583;-;-;-;-;6,4
09/07/2018;8;3526258,67;6,39;1,00024583;-;-;-;-;6,4
10/07/2018;9;3618402,6;6,39;1,00024583;-;-;-;-;6,4
11/07/2018;9;3573509,43;6,39;1,00024583;-;-;-;-;6,4
12/07/2018;8;3540193,26;6,39;1,00024583;-;-;-;-;6,4
13/07/2018;9;3499555,7;6,39;1,00024583;-;-;-;-;6,4
16/07/2018;8;3402293,51;6,39;1,00024583;-;-;-;-;6,4
17/07/2018;9;3404811,16;6,39;1,00024583;-;-;-;-;6,4
18/07/2018;8;3389048,72;6,39;1,00024583;-;-;-;-;6,4
19/07/2018;8;3389533,94;6,39;1,00024583;-;-;-;-;6,4
20/07/2018;8;3375041,29;6,39;1,00024583;-;-;-;-;6,4
23/07/2018;9;3386372,51;6,39;1,00024583;-;-;-;-;6,4
24/07/2018;8;3393306,98;6,39;1,00024583;-;-;-;-;6,4
25/07/2018;9;3381881,91;6,39;1,00024583;-;-;-;-;6,4
26/07/2018;8;3269767,1;6,39;1,00024583;-;-;-;-;6,4
27/07/2018;8;3227710,03;6,39;1,00024583;-;-;-;-;6,4
30/07/2018;8;3235410,95;6,39;1,00024583;-;-;-;-;6,4
31/07/2018;6;3213652,23;6,39;1,00024583;-;-;-;-;6,4
01/08/2018;7;3200207,58;6,39;1,00024583;-;-;-;-;6,4
02/08/2018;7;3431728,87;6,39;1,00024583;-;-;-;-;6,4
03/08/2018;7;3627501,02;6,39;1,00024583;-;-;-;-;6,4
06/08/2018;7;3631515,98;6,39;1,00024583;-;-;-;-;6,4
07/08/2018;8;3614004,79;6,39;1,00024583;-;-;-;-;6,4
08/08/2018;8;3599262,77;6,39;1,00024583;-;-;-;-;6,4
09/08/2018;7;3557638,94;6,39;1,00024583;-;-;-;-;6,4
10/08/2018;7;3535552,16;6,39;1,00024583;-;-;-;-;6,4
13/08/2018;7;3502530,88;6,39;1,00024583;-;-;-;-;6,4
14/08/2018;5;3448160;6,39;1,00024583;-;-;-;-;6,4
15/08/2018;5;3636112,6;6,39;1,00024583;-;-;-;-;6,4
16/08/2018;7;3656511,54;6,39;1,00024583;-;-;-;-;6,4
17/08/2018;7;3663356,47;6,39;1,00024583;-;-;-;-;6,4
20/08/2018;7;3643185,49;6,39;1,00024583;-;-;-;-;6,4
21/08/2018;7;3639061,34;6,39;1,00024583;-;-;-;-;6,4
22/08/2018;7;3629987,06;6,39;1,00024583;-;-;-;-;6,4
23/08/2018;7;3620419,02;6,39;1,00024583;-;-;-;-;6,4
24/08/2018;7;3609414,53;6,39;1,00024583;-;-;-;-;6,4
27/08/2018;7;3575159,84;6,39;1,00024583;-;-;-;-;6,4
28/08/2018;7;3575249,46;6,39;1,00024583;-;-;-;-;6,4
29/08/2018;9;3554073,55;6,39;1,00024583;-;-;-;-;6,4
30/08/2018;7;3546632,33;6,39;1,00024583;-;-;-;-;6,4
31/08/2018;7;3537828,6;6,39;1,00024583;-;-;-;-;6,4
03/09/2018;8;3538455,58;6,39;1,00024583;-;-;-;-;6,4
04/09/2018;7;3748893,98;6,39;1,00024583;-;-;-;-;6,4
05/09/2018;8;3929497,98;6,39;1,00024583;-;-;-;-;6,4
06/09/2018;7;3904916,52;6,39;1,00024583;-;-;-;-;6,4
10/09/2018;6;3879440,56;6,39;1,00024583;-;-;-;-;6,4
11/09/2018;7;3894591,46;6,39;1,00024583;-;-;-;-;6,4
12/09/2018;9;3832914,04;6,39;1,00024583;-;-;-;-;6,4
13/09/2018;9;3852787,67;6,39;1,00024583;-;-;-;-;6,4
14/09/2018;9;3824814,32;6,39;1,00024583;-;-;-;-;6,4
17/09/2018;7;3756974,6;6,39;1,00024583;-;-;-;-;6,4
18/09/2018;7;3746646,51;6,39;1,00024583;-;-;-;-;6,4
19/09/2018;6;3764183,27;6,39;1,00024583;-;-;-;-;6,4
20/09/2018;5;3698307,17;6,39;1,00024583;-;-;-;-;6,4
21/09/2018;7;3706240,9;6,39;1,00024583;-;-;-;-;6,4
24/09/2018;8;3706743,64;6,39;1,00024583;-;-;-;-;6,4
25/09/2018;7;3708485,21;6,39;1,00024583;-;-;-;-;6,4
26/09/2018;8;3710079,99;6,39;1,00024583;-;-;-;-;6,4
27/09/2018;7;3642878,82;6,39;1,00024583;-;-;-;-;6,4
28/09/2018;6;3624300,72;6,39;1,00024583;-;-;-;-;6,4
