TIPO DE DERIVADO DE PETROLEO; ANO ;VENDAS em mil m3
 Gasolina C ;2010;29843,665
 Gasolina de aviação ;2010;69,555
 GLP  ;2010;12558,33
 Óleo combustível  ;2010;4901,484
 Óleo diesel  ;2010;49239,039
 QAV ;2010;6250,101
 Querosene Iluminante ;2010;15,349
 Gasolina C ;2011;35491,2557
 Gasolina de aviação ;2011;70,379148
 GLP  ;2011;12867,5045
 Óleo combustível  ;2011;3671,901211
 Óleo diesel  ;2011;52263,91158
 QAV ;2011;6955,355027
 Querosene Iluminante ;2011;14,274934
 Gasolina C ;2012;39697,71473
 Gasolina de aviação ;2012;76,260423
 GLP  ;2012;12926,49878
 Óleo combustível  ;2012;3934,086893
 Óleo diesel  ;2012;55900,36367
 QAV ;2012;7291,992549
 Querosene Iluminante ;2012;11,581012
 Gasolina C ;2013;41426,237
 Gasolina de aviação ;2013;76,934353
 GLP  ;2013;13276,48406
 Óleo combustível  ;2013;4990,546356
 Óleo diesel  ;2013;58572,495
 QAV ;2013;7224,825503
 Querosene Iluminante ;2013;9,422518
 Gasolina C ;2014;44364,247
 Gasolina de aviação ;2014;76,244
 GLP  ;2014;13443,962
 Óleo combustível  ;2014;6195,079
 Óleo diesel  ;2014;60031,618
 QAV ;2014;7470,225
 Querosene Iluminante ;2014;7,284
 Gasolina C ;2015;41137,402
 Gasolina de aviação ;2015;63,728
 GLP  ;2015;13249,127
 Óleo combustível  ;2015;4931,764
 Óleo diesel  ;2015;57210,87
 QAV ;2015;7355,076
 Querosene Iluminante ;2015;5,774
 Gasolina C ;2016;43019,082
 Gasolina de aviação ;2016;57,246
 GLP  ;2016;13397,605
 Óleo combustível  ;2016;3332,562
 Óleo diesel  ;2016;54278,57
 QAV ;2016;6764,746
 Querosene Iluminante ;2016;5,999
 Gasolina C ;2017;44149,532
 Gasolina de aviação ;2017;51,361
 GLP  ;2017;13388,746
 Óleo combustível  ;2017;3384,547
 Óleo diesel  ;2017;54772,292
 QAV ;2017;6694,18
 Querosene Iluminante ;2017;5,387
 Gasolina C ;2018;38351,779
 Gasolina de aviação ;2018;48,461
 GLP  ;2018;13256,886
 Óleo combustível  ;2018;2315,574
 Óleo diesel  ;2018;55629,467
 QAV ;2018;7164,207
 Querosene Iluminante ;2018;5,307
 Gasolina C ;2019;38165,037
 Gasolina de aviação ;2019;43,146
 GLP  ;2019;13208,918
 Óleo combustível  ;2019;1890,611
 Óleo diesel  ;2019;57298,448
 QAV ;2019;6980,446
 Querosene Iluminante ;2019;4,44
