REGIÃO;UF;VENDAS DE GASOLINA C;ANO
Norte;Rondônia ;286,146;2010
Norte;Acre ;94,984;2010
Norte;Amazonas ;468,688;2010
Norte;Roraima ;85,768;2010
Norte;Pará ;674,941;2010
Norte;Amapá;99,396;2010
Norte;Tocantins ;217,260877;2010
Nordeste;Maranhão ;522,287;2010
Nordeste;Piauí ;345,391;2010
Nordeste;Ceará ;820,165;2010
Nordeste;Rio Grande do Norte ;403,55;2010
Nordeste;Paraíba ;444,826;2010
Nordeste;Pernambuco;898,933;2010
Nordeste;Alagoas;245,328;2010
Nordeste;Sergipe;259,063;2010
Nordeste;Bahia;1273,406;2010
Sudeste;Minas Gerais;3677,904;2010
Sudeste;Espírito Santo;638,224;2010
Sudeste;Rio de Janeiro;1867,262;2010
Sudeste;São Paulo;7436,237;2010
Sul ;Paraná ;1885,665;2010
Sul ;Santa Catarina;1787,185;2010
Sul ;Rio Grande do Sul ;2582,904;2010
Centro-Oeste;Mato Grosso do Sul ;451,271;2010
Centro-Oeste;Mato Grosso;393,807;2010
Centro-Oeste;Goiás;1083,507;2010
Centro-Oeste;Distrito Federal ;899,566911;2010
Norte;Rondônia ;325,210119;2011
Norte;Acre ;106,948783;2011
Norte;Amazonas ;521,355097;2011
Norte;Roraima ;88,27325;2011
Norte;Pará ;768,592559;2011
Norte;Amapá;109,5156;2011
Norte;Tocantins ;249,67417;2011
Nordeste;Maranhão ;628,889231;2011
Nordeste;Piauí ;373,9859;2011
Nordeste;Ceará ;943,328047;2011
Nordeste;Rio Grande do Norte ;484,517099;2011
Nordeste;Paraíba ;511,689326;2011
Nordeste;Pernambuco;1106,865965;2011
Nordeste;Alagoas;303,096084;2011
Nordeste;Sergipe;298,401148;2011
Nordeste;Bahia;1588,825698;2011
Sudeste;Minas Gerais;4099,918355;2011
Sudeste;Espírito Santo;715,752591;2011
Sudeste;Rio de Janeiro;2280,077811;2011
Sudeste;São Paulo;9461,875412;2011
Sul ;Paraná ;2403,005274;2011
Sul ;Santa Catarina;2008,653522;2011
Sul ;Rio Grande do Sul ;2813,757284;2011
Centro-Oeste;Mato Grosso do Sul ;552,064642;2011
Centro-Oeste;Mato Grosso;488,40784;2011
Centro-Oeste;Goiás;1256,556806;2011
Centro-Oeste;Distrito Federal ;1002,018082;2011
Norte;Rondônia ;365,37029;2012
Norte;Acre ;118,89175;2012
Norte;Amazonas ;569,396746;2012
Norte;Roraima ;99,43;2012
Norte;Pará ;909,505429;2012
Norte;Amapá;127,9845;2012
Norte;Tocantins ;296,202184;2012
Nordeste;Maranhão ;750,7629;2012
Nordeste;Piauí ;454,910226;2012
Nordeste;Ceará ;1120,767704;2012
Nordeste;Rio Grande do Norte ;561,903619;2012
Nordeste;Paraíba ;588,349214;2012
Nordeste;Pernambuco;1290,226164;2012
Nordeste;Alagoas;363,832649;2012
Nordeste;Sergipe;340,092125;2012
Nordeste;Bahia;1842,729921;2012
Sudeste;Minas Gerais;4459,305494;2012
Sudeste;Espírito Santo;821,777452;2012
Sudeste;Rio de Janeiro;2470,659318;2012
Sudeste;São Paulo;10305,84477;2012
Sul ;Paraná ;2771,272221;2012
Sul ;Santa Catarina;2225,459465;2012
Sul ;Rio Grande do Sul ;3081,486602;2012
Centro-Oeste;Mato Grosso do Sul ;643,255258;2012
Centro-Oeste;Mato Grosso;593,01155;2012
Centro-Oeste;Goiás;1446,209174;2012
Centro-Oeste;Distrito Federal ;1079,078001;2012
Norte;Rondônia ;378,46295;2013
Norte;Acre ;125,329986;2013
Norte;Amazonas ;590,749207;2013
Norte;Roraima ;108,8613;2013
Norte;Pará ;996,173282;2013
Norte;Amapá;137,8998;2013
Norte;Tocantins ;312,274286;2013
