"mes","Dolar","CtBarril","Etanol","GasolProdr","TribEst","TribFed","DistrRev","IPCA","PCTribEst","PIM","EstEmp","CDI","IBC","MRed","GasolNaBomba"
"2018-07",3.82629166666667,284.79998575,0.447255,1.5670618,1.28895548732681,0.686868,0.584859712673192,-0.0227215189873418,28.1738904333729,77,38575609,6.39,140.97,148006,4.575
"2018-08",3.92921333333333,285.279916266667,0.426735,1.5618788,1.27983561773976,0.686868,0.550682582260241,0.136329113924051,28.4029209440692,87.5,38699353,6.39,143.33,149095,4.506
"2018-09",4.096575,323.876328666667,0.495045,1.7390863,1.30326543497536,0.686868,0.582735265024642,0.222670886075949,27.1118251503091,72.3,38850359,6.39,135.87,149895,4.807
"2018-10",3.75897692307692,308.010935846154,0.536598,1.5688868,1.3468000996996,0.686868,0.670847100300397,0.24993670886076,28.0000020727568,80.6,38916964,6.4,139.75,149095,4.81
"2018-11",3.78119285714286,250.519544714286,0.491346,1.2527457,1.30462603685113,0.686868,0.766414263148866,0.0545316455696203,28.9788102365867,75.2,38980132,6.4,137.61,148682,4.502
"2018-12",3.88477777777778,229.298921666667,0.492318,1.2801353,1.25592673837621,0.686868,0.685751961623795,-0.0136329113924051,28.5373037576962,59.7,38637774,6.4,136.34,155770,4.40100000000001
"2019-01",3.724675,220.280073666667,0.493965,1.2377807,1.23989212495494,0.686868,0.744494175045058,-0.077253164556962,28.1601663628195,65.9,38682440,6.4,133.44,175454,4.403
"2019-02",3.72569166666667,236.858710416667,0.507114,1.2878587,1.19566646567311,0.686868,0.555492834326893,0.395354430379747,28.2463138595112,76.1,38874943,6.4,133.74,176280,4.233
"2019-03",3.8555,254.904415769231,0.501957,1.43445,1.19639268559744,0.686868,0.475332314402562,0.0545316455696203,27.8554757997076,73.8,38836331,6.4,138.99,170110,4.295
"2019-04",3.90308333333333,277.542464666667,0.568026,1.5119906,1.2236923896682,0.686868,0.477423010331803,0.281746835443038,27.3879227768173,81.7,38972715,6.4,139.46,151464,4.468
"2019-05",3.98662857142857,286.596511428571,0.514485,1.5785885,1.30065647692761,0.686868,0.474402023072392,0.218126582278481,28.5544780884217,82,39013389,6.4,139.26,149699,4.555
"2019-06",3.8554,245.894381333333,0.496422,1.3819046,1.29009766452229,0.686868,0.59170773547771,-0.0454430379746835,29.0105164048188,73.6,39072919,6.4,135.01,149690,4.447
"2019-07",3.77475384615385,242.057033615385,0.486945,1.2985897,1.22231146833101,0.686868,0.585285831668994,-0.0999746835443038,28.5586791666124,81.7,39124544,6.4,142.92,150196,4.28
"2019-08",4.02208571428571,238.797102428571,0.49923,1.3274904,1.21708094865071,0.686868,0.593330651349288,0.0499873417721519,28.1471079706455,85.1,39252375,5.9,141.77,151819,4.324
"2019-09",4.1156,260.114813416667,0.497313,1.37167,1.22985626745565,0.686868,0.573292732544346,0.186316455696203,28.2141836993726,78.9,39414409,5.70952380952381,138.29,150867,4.359
"2019-10",4.07968571428571,243.299104357143,0.52596,1.4065421,1.24113020169225,0.686868,0.545499698307754,0.0318101265822785,28.16909218548,86.3,39488567,5.37826086956522,142.76,150599,4.406
"2019-11",4.16744615384615,262.332777461538,0.567432,1.4368444,1.25202449350629,0.686868,0.491831106493709,0.318101265822785,28.230541003524,79.1,39589164,4.9,138.84,151250,4.435
"2019-12",4.11218181818182,273.810131727273,0.600669,1.4963394,1.28042702631544,0.686868,0.523696573684557,0.63620253164557,27.9081740696478,59.8,39281853,4.59047619047619,137.54,160096,4.588
"2020-01",4.15099285714286,267.196844571429,0.611199,1.4562186,1.29677342573195,0.686868,0.549940974268046,0.0425510204081633,28.184599559486,71.7,39399646,4.4,133.61,179646,4.601
"2020-02",4.36674166666667,243.14567925,0.612738,1.3644211,1.30852578208194,0.686868,0.585447117918064,0.0765918367346939,28.7083322089061,76.6,39625294,4.19166666666667,134.64,181171,4.558
"2020-03",4.89271666666667,166.968496583333,0.54324,1.14902,1.33312012343094,0.686868,0.698751876569061,-0.314877551020408,30.2226280532972,72.3,39348944,3.94545454545455,136.69,172286,4.411
"2020-04",5.31320769230769,94.0374269230769,0.393606,0.7871663,1.1581616834464,0.686868,0.822198016553602,-0.225520408163265,30.0977568463201,47.4,38385241,3.65,119.12,151517,3.848
"2020-05",5.65388333333333,157.850947,0.407808,0.9729732,1.10415219156888,0.686868,0.62919860843112,-0.106377551020408,29.0489921486156,52.9,38011645,3.0125,119.78,145661,3.801
"2020-06",5.18789166666667,207.998117666667,0.485298,1.1875421,1.1329783095983,0.686868,0.504313590401701,0.0425510204081633,28.3457170277283,59.6,37981600,2.57857142857143,126.17,140429,3.997
"2020-07",5.28032,227.544550266667,0.489348,1.3648445,1.20677433910101,0.686868,0.458165160898986,0.106377551020408,28.6917341678795,72.2,38118972,2.15,135.87,137654,4.206
"2020-08",5.465225,244.757913833333,0.512217,1.3350824,1.24071141078249,0.686868,0.631121189217511,0.280836734693878,28.1595871716407,80.4,38362238,1.93571428571429,135.51,137510,4.406
"2020-09",5.390325,220.497906083333,0.512217,1.3350824,1.24071141078249,0.686868,0.631121189217511,0.438275510204082,28.1595871716407,84.8,38681647,1.9,137.06,139961,4.406
"2020-10",5.6428,227.918036071429,0.631881,1.3783422,1.33138237116361,0.69,0.607526428836393,0.361683673469388,28.6989542691092,91.3,39074028,1.9,139.47,141908,4.639132
