"mes","Dolar","CtBarril","Etanol","GasolProdr","TribEst","TribFed","DistrRev","IPCA","PCTribEst","PIM","EstEmp","CDI","IBC","MRed","GasolNaBomba"
"2018-07",3.82629166666667,284.79998575,0.557037,1.3637495,1.149242127713,0.686868,0.825103372286997,0,25.0816701814273,77,38575609,6.39,140.97,148006,4.582
"2018-08",3.92921333333333,285.279916266667,0.557037,1.3953293,1.21382214825873,0.686868,0.75094355174127,-0.109161290322581,26.3645123427179,87.5,38699353,6.39,143.33,149095,4.604
"2018-09",4.096575,323.876328666667,0.5479515,1.5703614,1.23005786503133,0.686868,0.780761234968673,0.0545806451612903,25.5410686260658,72.3,38850359,6.39,135.87,149895,4.816
"2018-10",3.75897692307692,308.010935846154,0.537003,1.410287,1.26604468703076,0.686868,0.959797312969243,0.491225806451613,26.050302202279,80.6,38916964,6.4,139.75,149095,4.86
"2018-11",3.78119285714286,250.519544714286,0.53406,1.088941,1.25418183845506,0.686868,1.05394916154494,0,27.1585499881997,75.2,38980132,6.4,137.61,148682,4.618
"2018-12",3.88477777777778,229.298921666667,0.523638,1.1192798,1.22173058954402,0.686868,0.781483610455984,0.436645161290323,28.195951754997,59.7,38637774,6.4,136.34,155770,4.333
"2019-01",3.724675,220.280073666667,0.526014,1.0783852,1.18992408142504,0.686868,0.840808718574965,0.272903225806452,27.5317927215418,65.9,38682440,6.4,133.44,175454,4.32200000000001
"2019-02",3.72569166666667,236.858710416667,0.538974,1.1183308,1.13806680901114,0.686868,0.737760390988858,0.846,26.9684077964725,76.1,38874943,6.4,133.74,176280,4.22
"2019-03",3.8555,254.904415769231,0.54513,1.264871,1.13639207991231,0.686868,0.795738920087692,0.445741935483871,25.6579832899596,73.8,38836331,6.4,138.99,170110,4.429
"2019-04",3.90308333333333,277.542464666667,0.5373,1.3324252,1.17929445192642,0.686868,0.756112348073584,0.564,26.2532157597155,81.7,38972715,6.4,139.46,151464,4.492
"2019-05",3.98662857142857,286.596511428571,0.5373,1.3970886,1.21630907218607,0.686868,0.705434327813932,0.0454838709677419,26.7732571469529,82,39013389,6.4,139.26,149699,4.543
"2019-06",3.8554,245.894381333333,0.5373,1.2053468,1.20900674173932,0.686868,0.948478458260679,0.145548387096774,26.3572431161831,73.6,39072919,6.4,135.01,149690,4.587
"2019-07",3.77475384615385,242.057033615385,0.5373,1.1370991,1.22565493071546,0.686868,0.825077969284537,0.0272903225806452,27.7800301612752,81.7,39124544,6.4,142.92,150196,4.412
"2019-08",4.02208571428571,238.797102428571,0.5373,1.1063004,1.20963099831401,0.686868,0.785900601685988,-0.181935483870968,27.9618816068888,85.1,39252375,5.9,141.77,151819,4.326
"2019-09",4.1156,260.114813416667,0.5512185,1.1872136,1.18403316469689,0.686868,0.870666735303109,0.0727741935483871,26.4293117119842,78.9,39414409,5.70952380952381,138.29,150867,4.48
"2019-10",4.07968571428571,243.299104357143,0.5433885,1.2433287,1.20721445731786,0.686868,0.837200342682145,0.200129032258065,26.7201075103554,86.3,39488567,5.37826086956522,142.76,150599,4.51800000000001
"2019-11",4.16744615384615,262.332777461538,0.5755725,1.2738938,1.21545777677198,0.686868,0.754207923228023,0.846,26.974207207545,79.1,39589164,4.9,138.84,151250,4.506
"2019-12",4.11218181818182,273.810131727273,0.593811,1.3325931,1.20824400294562,0.686868,0.670483897054375,1.61922580645161,26.8976848385045,59.8,39281853,4.59047619047619,137.54,160096,4.492
"2020-01",4.15099285714286,267.196844571429,0.6373485,1.2741055,1.24067639309732,0.686868,0.794001606902682,0.345303370786517,26.7791148952584,71.7,39399646,4.4,133.61,179646,4.633
"2020-02",4.36674166666667,243.14567925,0.620271,1.2010325,1.19632055658099,0.686868,0.911507943419014,0.185932584269663,25.9168231495015,76.6,39625294,4.19166666666667,134.64,181171,4.616
"2020-03",4.89271666666667,166.968496583333,0.573589296,0.9753165,1.22889954399801,0.686868,1.03232666000199,-0.141662921348315,27.327096820058,72.3,39348944,3.94545454545455,136.69,172286,4.497
"2020-04",5.31320769230769,94.0374269230769,0.4502090295,0.5902561,1.14817552122353,0.686868,1.20549134927647,-0.115101123595506,28.1346611424536,47.4,38385241,3.65,119.12,151517,4.081
"2020-05",5.65388333333333,157.850947,0.462915,0.7872101,1.10849721811611,0.686868,0.955509681883892,-0.345303370786517,27.7055040768835,52.9,38011645,3.0125,119.78,145661,4.001
"2020-06",5.18789166666667,207.998117666667,0.5590755,1.0004723,1.09392371002722,0.686868,0.76466048997278,-0.159370786516854,26.6485678447557,59.6,37981600,2.57857142857143,126.17,140429,4.105
"2020-07",5.28032,227.544550266667,0.5282816625,1.1793953,1.12748903432444,0.686868,0.645966003175559,0.637483146067416,27.0510804780336,72.2,38118972,2.15,135.87,137654,4.168
"2020-08",5.465225,244.757913833333,0.5283714105,1.1544877,1.12740044659809,0.686868,0.826872442901909,-0.0354157303370786,26.0730908093915,80.4,38362238,1.93571428571429,135.51,137510,4.324
"2020-09",5.390325,220.497906083333,0.279460314,1.1544877,1.12740044659809,0.686868,1.07578353940191,0.841123595505618,26.0730908093915,84.8,38681647,1.9,137.06,139961,4.324
"2020-10",5.6428,227.918036071429,0.6914835,1.2174721,1.17485600028339,0.69,0.614320399716605,1.04476404494382,26.7734881330687,91.3,39074028,1.9,139.47,141908,4.388132
