COMBUSTÍVEL;ANO;SEGMENTO;ESTADO;UNIDADE; Jan ; Fev ; Mar ; Abr ; Mai ; Jun ; Jul ; Ago ; Set ; Out ; Nov ; Dez ; TOTAL 
GASOLINA C (m3);2020;POSTO REVENDEDOR;RONDÔNIA;m3;35.893;34.128;32.160;29.096;30.892;32.215;36.575;35.988;38.710;41.633;37.807;;385.096
GASOLINA C (m3);2020;POSTO REVENDEDOR;ACRE;m3;11.029;10.548;9.975;9.106;8.746;10.099;11.617;11.633;12.419;13.809;12.576;;121.555
GASOLINA C (m3);2020;POSTO REVENDEDOR;AMAZONAS;m3;49.582;46.799;43.945;31.951;40.064;47.170;58.730;58.298;57.566;60.245;56.549;;550.899
GASOLINA C (m3);2020;POSTO REVENDEDOR;RORAIMA;m3;13.130;12.712;12.417;10.077;10.590;11.134;12.405;12.896;14.579;15.859;14.195;;139.993
GASOLINA C (m3);2020;POSTO REVENDEDOR;PARÁ;m3;95.794;90.374;86.825;72.351;72.320;92.852;106.863;105.711;109.978;115.701;107.979;;1.056.748
GASOLINA C (m3);2020;POSTO REVENDEDOR;AMAPÁ;m3;13.633;13.513;12.635;11.442;9.954;12.847;14.528;16.123;16.338;17.866;15.500;;154.379
GASOLINA C (m3);2020;POSTO REVENDEDOR;TOCANTINS;m3;29.536;27.956;26.486;25.493;24.764;27.222;30.797;28.278;30.007;32.324;31.482;;314.344
GASOLINA C (m3);2020;POSTO REVENDEDOR;MARANHÃO;m3;78.605;72.579;66.347;58.559;57.784;70.061;81.531;81.125;85.846;91.848;85.656;;829.942
GASOLINA C (m3);2020;POSTO REVENDEDOR;PIAUÍ;m3;47.709;42.066;37.627;32.313;34.364;38.960;40.230;42.467;47.055;51.365;49.273;;463.431
GASOLINA C (m3);2020;POSTO REVENDEDOR;CEARÁ;m3;116.308;108.722;91.385;77.073;76.352;92.943;108.818;108.507;116.498;125.406;120.278;;1.142.289
GASOLINA C (m3);2020;POSTO REVENDEDOR;RIO GRANDE DO NORTE;m3;50.884;49.327;42.990;37.807;40.047;41.396;46.743;45.874;51.985;55.689;53.950;;516.691
GASOLINA C (m3);2020;POSTO REVENDEDOR;PARAÍBA;m3;53.700;51.687;46.612;41.438;42.096;44.924;52.139;52.728;54.948;60.661;57.858;;558.791
GASOLINA C (m3);2020;POSTO REVENDEDOR;PERNAMBUCO;m3;111.847;107.461;94.673;80.914;84.097;94.845;104.851;107.106;113.148;125.640;117.343;;1.141.925
GASOLINA C (m3);2020;POSTO REVENDEDOR;ALAGOAS;m3;37.928;36.008;31.578;29.438;28.440;30.181;34.067;34.560;36.532;41.886;39.907;;380.523
GASOLINA C (m3);2020;POSTO REVENDEDOR;SERGIPE;m3;31.088;30.082;26.546;24.203;24.567;27.108;28.589;28.569;31.252;35.373;32.646;;320.021
GASOLINA C (m3);2020;POSTO REVENDEDOR;BAHIA;m3;183.978;169.515;147.251;131.111;137.735;144.841;158.715;156.407;174.784;195.496;180.236;;1.780.068
